,AUROC,AUPR-IN,AUPR-OUT,FPR95TPR,Method,Dataset,Seed
86,0.9975206255912781,0.9990102052688599,0.9941878914833069,0.013749999925494194,Entropy,ImageNetO,1
87,0.9983050227165222,0.9993071556091309,0.9962377548217773,0.007499999832361937,MaxLogit,ImageNetO,1
88,0.9444018006324768,0.9981234669685364,0.8189587593078613,0.09749999642372131,Logic-based,ImageNetR,1
89,0.9557857513427734,0.9987823963165283,0.8516805171966553,0.08124999701976776,Logic-based-OE,ImageNetR,1
90,0.8221249580383301,0.9949462413787842,0.5014001131057739,1.0,Logic-only,ImageNetR,1
91,0.9409083127975464,0.998397946357727,0.6598333120346069,0.08124999701976776,Logic-only-OE,ImageNetR,1
92,0.9828583598136902,0.9994344711303711,0.8370482325553894,0.07249999791383743,Ensemble,ImageNetR,1
93,0.9704537987709045,0.999107301235199,0.6596840620040894,0.13500000536441803,MSP,ImageNetR,1
94,0.9899131655693054,0.9997183084487915,0.7759729623794556,0.03750000149011612,Energy,ImageNetR,1
95,0.9781856536865234,0.9992626309394836,0.8163955807685852,0.10125000029802322,Mahalanobis,ImageNetR,1
96,0.9904645085334778,0.9996801614761353,0.9128619432449341,0.03750000149011612,ViM,ImageNetR,1
97,0.9820118546485901,0.9994869232177734,0.6975159049034119,0.07500000298023224,Entropy,ImageNetR,1
98,0.9873167872428894,0.9996364712715149,0.764609694480896,0.05874999985098839,MaxLogit,ImageNetR,1
99,0.9384159445762634,0.9911850690841675,0.8794416189193726,0.11249999701976776,Logic-based,ImageNetA,1
100,0.9510558247566223,0.9943053722381592,0.901415228843689,0.08874999731779099,Logic-based-OE,ImageNetA,1
101,0.7788398861885071,0.9758329391479492,0.5703205466270447,1.0,Logic-only,ImageNetA,1
102,0.9057964086532593,0.9899975061416626,0.7025602459907532,1.0,Logic-only-OE,ImageNetA,1
103,0.9759055376052856,0.9967728853225708,0.9028066992759705,0.09375,Ensemble,ImageNetA,1
104,0.9742113351821899,0.9969161748886108,0.8657583594322205,0.11874999850988388,MSP,ImageNetA,1
105,0.9899740815162659,0.9988855123519897,0.927230179309845,0.042500000447034836,Energy,ImageNetA,1
106,0.9639483094215393,0.994763195514679,0.8698326349258423,0.14000000059604645,Mahalanobis,ImageNetA,1
107,0.9858981370925903,0.9978971481323242,0.9567697048187256,0.05000000074505806,ViM,ImageNetA,1
108,0.9839907884597778,0.9981876015663147,0.8955228924751282,0.07000000029802322,Entropy,ImageNetA,1
109,0.9880050420761108,0.9986349940299988,0.9213228225708008,0.05874999985098839,MaxLogit,ImageNetA,1
110,0.9519400596618652,0.9953670501708984,0.9306715726852417,0.08124999701976776,Logic-based,FoolingImages,2
111,0.9597617387771606,0.9967855215072632,0.9599013924598694,0.07999999821186066,Logic-based-OE,FoolingImages,2
112,0.8556749820709229,0.98827064037323,0.5934781432151794,1.0,Logic-only,FoolingImages,2
113,0.9574999809265137,0.9966192841529846,0.9311563968658447,0.07999999821186066,Logic-only-OE,FoolingImages,2
114,0.9953975081443787,0.9995883703231812,0.9780803918838501,0.02250000089406967,Ensemble,FoolingImages,2
115,0.992560088634491,0.999374508857727,0.9489595293998718,0.04749999940395355,MSP,FoolingImages,2
116,0.9989930987358093,0.9999181032180786,0.9906397461891174,0.0024999999441206455,Energy,FoolingImages,2
117,0.9747898578643799,0.9977209568023682,0.8190186023712158,0.11874999850988388,Mahalanobis,FoolingImages,2
118,0.9871557950973511,0.9988070130348206,0.9373448491096497,0.05874999985098839,ViM,FoolingImages,2
119,0.9972070455551147,0.9997713565826416,0.9755955934524536,0.016249999403953552,Entropy,FoolingImages,2
120,0.9982708096504211,0.999858021736145,0.9857296347618103,0.012500000186264515,MaxLogit,FoolingImages,2
121,0.9479939341545105,0.9904270768165588,0.9340797662734985,0.08124999701976776,Logic-based,Textures,2
122,0.9589415192604065,0.9941099882125854,0.9579351544380188,0.07999999821186066,Logic-based-OE,Textures,2
123,0.8092952370643616,0.9733183979988098,0.616293728351593,1.0,Logic-only,Textures,2
124,0.9483864903450012,0.992815375328064,0.8894211053848267,0.07999999821186066,Logic-only-OE,Textures,2
